Sloeret_SkibID,Skib_Nationalitet,Fangst,Redskab,Art,Fiske_Zone,Afs_Havn,Afsejling_Datomedtid,Ankomst_Datomedtid,Fng_Um_Eng,Fng_Um_Egenskab
JPT/S2F/,DNK,225,OTB,DVH,EEC,16004,1/1/21 12:30,1/2/21 12:00,LSC,Legally sized catch
JPT/S8F6,DNK,93,OTB,TOR,EEC,9040,1/1/21 6:15,1/1/21 20:00,LSC,Legally sized catch
JST/S6F0,DNK,360,OTB,BRS,EEC,33019,1/10/21 7:30,1/10/21 15:00,LSC,Legally sized catch
JST/S7F/,DNK,4,OTB,TOR,EEC,33019,1/1/21 18:00,1/6/21 19:25,BMS,Below minimum size
"JST/S7F3,DNK,""6,600"",OTB,BRS,EEC,33019,1/2/21 7:30,1/2/21 16:25,LSC,Legally sized catch"
JST/S8F5,DNK,130,TBN,DVH,EEC,11002,1/2/21 4:30,1/2/21 19:00,LSC,Legally sized catch
JST/S:F2,DNK,1,OTB,LSJ,EEC,11002,1/18/21 22:55,1/20/21 19:35,LSC,Legally sized catch
JST0S1F.,DNK,12,OTB,RSP,EEC,9040,1/4/21 5:00,1/4/21 17:00,BMS,Below minimum size
JST0S2F6,DNK,6,OTB,RSP,EEC,28001,1/1/21 4:40,1/1/21 21:30,LSC,Legally sized catch
JST0S3F0,DNK,31,OTB,TOR,EEC,55009,1/1/21 20:10,1/8/21 7:00,LSC,Legally sized catch
JST0S3F1,DNK,1,UNK,YYY,EEC,18028,1/23/21 6:00,1/24/21 7:10,AMS,Above maximum size
JST0S4F.,DNK,40,OTB,TOR,EEC,23001,1/3/21 20:00,1/6/21 19:20,LSC,Legally sized catch
JST0S4F/,DNK,245,OTB,RSP,EEC,33019,1/1/21 1:20,1/5/21 18:40,LSC,Legally sized catch
